Ticket_ID,Customer_ID,Agent_ID,Channel,Issue_Type,Priority,Status,Created_Date,Created_Hour,Resolution_Time_Hours,SLA_Target_Hours,SLA_Breached,Escalated,First_Contact_Resolved,Satisfaction_Score,Repeat_Contact,Created_Year,Created_Month,Created_Quarter,SLA_Deviation_Hours,Resolution_Speed_Tier,Time_Of_Day,Satisfaction_Tier,Is_Resolved
TKT000013,CUST00708,AGT058,Social Media,Card Blocked,Medium,Pending,2023-02-15,18,10.9,24,0,0,1,,0,2023,2,1,-13.1,Within 24hrs,Afternoon (12-18),,0
TKT000014,CUST01781,AGT027,Live Chat,Statement Request,Critical,Resolved,2023-12-28,22,3.0,2,1,1,0,1.8,1,2023,12,4,1.0,Within 8hrs,Evening (18-24),Poor,1
TKT000015,CUST02414,AGT040,Live Chat,Payment Failure,Medium,Resolved,2022-11-09,6,9.2,24,0,0,1,4.9,0,2022,11,4,-14.8,Within 24hrs,Night (0-6),Excellent,1
TKT000016,CUST04954,AGT031,Social Media,KYC Verification,Medium,Resolved,2022-10-31,6,8.3,24,0,0,1,3.2,1,2022,10,4,-15.7,Within 24hrs,Night (0-6),Good,1
TKT000017,CUST03407,AGT003,Outbound Call,Loan Query,Medium,Escalated,2023-09-24,5,17.5,24,0,0,1,,1,2023,9,3,-6.5,Within 24hrs,Night (0-6),,0
TKT000018,CUST02162,AGT088,Social Media,KYC Verification,High,Escalated,2022-07-26,0,5.8,8,0,1,1,,1,2022,7,3,-2.2,Within 8hrs,Night (0-6),,0
TKT000019,CUST03540,AGT015,Live Chat,Transaction Dispute,Critical,Resolved,2024-12-28,19,0.7,2,0,0,1,1.0,0,2024,12,4,-1.3,Within 2hrs,Evening (18-24),Poor,1
TKT000020,CUST00609,AGT054,Live Chat,Refund Request,Low,Escalated,2022-03-22,4,41.7,48,0,0,1,,0,2022,3,1,-6.3,Within 48hrs,Night (0-6),,0
TKT000021,CUST00309,AGT070,Live Chat,App Technical Issue,Medium,Escalated,2023-12-15,2,20.1,24,0,0,1,,1,2023,12,4,-3.9,Within 24hrs,Night (0-6),,0
TKT000022,CUST04308,AGT011,Live Chat,Transaction Dispute,High,Pending,2023-11-02,10,7.2,8,0,0,1,,0,2023,11,4,-0.8,Within 8hrs,Morning (6-12),,0
TKT000023,CUST02365,AGT030,Live Chat,App Technical Issue,Medium,Closed,2023-04-17,21,18.6,24,0,0,1,4.2,0,2023,4,2,-5.4,Within 24hrs,Evening (18-24),Excellent,1
TKT000024,CUST00185,AGT035,Inbound Call,Statement Request,Low,Resolved,2023-03-04,6,29.9,48,0,1,1,1.2,0,2023,3,1,-18.1,Within 48hrs,Night (0-6),Poor,1
TKT000025,CUST00246,AGT043,Social Media,App Technical Issue,Low,Resolved,2023-09-13,5,1.2,48,0,1,1,3.6,0,2023,9,3,-46.8,Within 2hrs,Night (0-6),Good,1
TKT000026,CUST00239,AGT061,Chatbot,App Technical Issue,Low,Resolved,2024-05-18,8,43.0,48,0,1,1,2.6,0,2024,5,2,-5.0,Within 48hrs,Morning (6-12),Average,1
TKT000027,CUST00520,AGT040,Outbound Call,Fraud Alert,High,Escalated,2023-04-23,6,2.3,8,0,0,1,,0,2023,4,2,-5.7,Within 8hrs,Night (0-6),,0
TKT000028,CUST03908,AGT093,Inbound Call,Refund Request,High,Resolved,2023-12-29,0,6.4,8,0,0,0,4.7,0,2023,12,4,-1.6,Within 8hrs,Night (0-6),Excellent,1
TKT000029,CUST00277,AGT087,Inbound Call,KYC Verification,Medium,Resolved,2022-10-09,14,8.0,24,0,1,1,2.7,0,2022,10,4,-16.0,Within 8hrs,Afternoon (12-18),Average,1
TKT000030,CUST04029,AGT042,Chatbot,Fraud Alert,Low,Closed,2022-09-10,12,29.7,48,0,0,0,4.6,0,2022,9,3,-18.3,Within 48hrs,Morning (6-12),Excellent,1
TKT000031,CUST04310,AGT042,Chatbot,KYC Verification,Critical,Closed,2022-02-22,14,0.8,2,0,0,1,3.6,0,2022,2,1,-1.2,Within 2hrs,Afternoon (12-18),Good,1
TKT000032,CUST00606,AGT003,Social Media,Transaction Dispute,Medium,Resolved,2023-03-04,12,1.2,24,0,0,1,4.4,0,2023,3,1,-22.8,Within 2hrs,Morning (6-12),Excellent,1
TKT000033,CUST04574,AGT090,Social Media,Payment Failure,Medium,Resolved,2022-04-11,14,16.6,24,0,0,1,2.5,0,2022,4,2,-7.4,Within 24hrs,Afternoon (12-18),Average,1
TKT000034,CUST04604,AGT078,Email,App Technical Issue,Medium,Closed,2024-06-17,12,16.5,24,0,1,1,4.5,0,2024,6,2,-7.5,Within 24hrs,Morning (6-12),Excellent,1
TKT000035,CUST04054,AGT083,Email,Transaction Dispute,Low,Resolved,2023-02-11,6,33.9,48,0,0,1,2.0,0,2023,2,1,-14.1,Within 48hrs,Night (0-6),Poor,1
TKT000036,CUST02713,AGT085,Social Media,App Technical Issue,Low,Resolved,2024-02-19,18,130.0,48,1,0,1,4.8,0,2024,2,1,82.0,Beyond 48hrs,Afternoon (12-18),Excellent,1
TKT000037,CUST00142,AGT021,Outbound Call,KYC Verification,Low,Closed,2022-09-13,2,16.3,48,0,0,1,2.3,1,2022,9,3,-31.7,Within 24hrs,Night (0-6),Average,1
TKT000038,CUST03662,AGT073,Outbound Call,Statement Request,Critical,Resolved,2022-12-25,16,1.3,2,0,0,1,3.1,0,2022,12,4,-0.7,Within 2hrs,Afternoon (12-18),Good,1
TKT000039,CUST02370,AGT077,Inbound Call,Card Blocked,Critical,Resolved,2024-11-23,3,1.3,2,0,0,1,4.2,0,2024,11,4,-0.7,Within 2hrs,Night (0-6),Excellent,1
TKT000040,CUST01718,AGT053,Inbound Call,Fraud Alert,Low,Pending,2022-11-30,6,30.1,48,0,1,1,,0,2022,11,4,-17.9,Within 48hrs,Night (0-6),,0
TKT000041,CUST04557,AGT044,Inbound Call,Statement Request,Low,Pending,2022-09-04,15,17.6,48,0,1,0,,0,2022,9,3,-30.4,Within 24hrs,Afternoon (12-18),,0
TKT000042,CUST04766,AGT046,Outbound Call,Fraud Alert,High,Resolved,2024-01-04,23,0.7,8,0,0,0,1.3,0,2024,1,1,-7.3,Within 2hrs,Evening (18-24),Poor,1
TKT000043,CUST03428,AGT037,Live Chat,Loan Query,Medium,Resolved,2023-10-11,13,21.3,24,0,0,1,1.2,0,2023,10,4,-2.7,Within 24hrs,Afternoon (12-18),Poor,1
TKT000044,CUST02325,AGT038,Inbound Call,Refund Request,Medium,Closed,2023-01-27,6,57.0,24,1,0,0,1.1,0,2023,1,1,33.0,Beyond 48hrs,Night (0-6),Poor,1
TKT000045,CUST01845,AGT088,Inbound Call,Account Locked,Critical,Resolved,2022-07-05,16,0.9,2,0,0,1,1.6,0,2022,7,3,-1.1,Within 2hrs,Afternoon (12-18),Poor,1
TKT000046,CUST00400,AGT038,Live Chat,App Technical Issue,Low,Resolved,2024-01-07,15,42.2,48,0,1,1,4.9,1,2024,1,1,-5.8,Within 48hrs,Afternoon (12-18),Excellent,1
TKT000047,CUST04764,AGT011,Inbound Call,App Technical Issue,Medium,Closed,2023-06-07,16,15.6,24,0,1,1,2.5,0,2023,6,2,-8.4,Within 24hrs,Afternoon (12-18),Average,1
TKT000048,CUST02564,AGT093,Live Chat,Loan Query,Critical,Resolved,2022-08-18,14,1.8,2,0,0,1,2.3,0,2022,8,3,-0.2,Within 2hrs,Afternoon (12-18),Average,1
TKT000049,CUST01523,AGT045,Email,KYC Verification,Medium,Resolved,2022-02-03,0,3.5,24,0,1,1,2.4,0,2022,2,1,-20.5,Within 8hrs,Night (0-6),Average,1
TKT000050,CUST01335,AGT064,Chatbot,Fraud Alert,Medium,Closed,2024-02-18,13,57.0,24,1,1,0,4.6,0,2024,2,1,33.0,Beyond 48hrs,Afternoon (12-18),Excellent,1
TKT000051,CUST02624,AGT044,Inbound Call,KYC Verification,Low,Resolved,2024-03-30,3,23.2,48,0,0,1,4.5,0,2024,3,1,-24.8,Within 24hrs,Night (0-6),Excellent,1
TKT000052,CUST00239,AGT081,Inbound Call,Payment Failure,Medium,Resolved,2023-12-28,11,7.4,24,0,1,1,4.9,0,2023,12,4,-16.6,Within 8hrs,Morning (6-12),Excellent,1
TKT000053,CUST03216,AGT062,Email,Refund Request,Medium,Pending,2023-09-27,2,11.9,24,0,0,1,,0,2023,9,3,-12.1,Within 24hrs,Night (0-6),,0
TKT000054,CUST03648,AGT090,Outbound Call,Card Blocked,Medium,Pending,2024-06-08,20,10.7,24,0,0,1,,1,2024,6,2,-13.3,Within 24hrs,Evening (18-24),,0
TKT000055,CUST01617,AGT061,Social Media,Transaction Dispute,High,Pending,2023-09-08,7,4.6,8,0,0,1,,1,2023,9,3,-3.4,Within 8hrs,Morning (6-12),,0
TKT000056,CUST02430,AGT090,Inbound Call,App Technical Issue,Low,Pending,2022-06-22,20,23.7,48,0,0,1,,0,2022,6,2,-24.3,Within 24hrs,Evening (18-24),,0
TKT000057,CUST03653,AGT012,Live Chat,Statement Request,Low,Resolved,2024-03-09,15,52.0,48,1,0,1,4.4,0,2024,3,1,4.0,Beyond 48hrs,Afternoon (12-18),Excellent,1
TKT000058,CUST01722,AGT082,Outbound Call,Card Blocked,High,Resolved,2022-02-02,8,24.0,8,1,0,1,2.9,0,2022,2,1,16.0,Within 24hrs,Morning (6-12),Average,1
TKT000059,CUST01273,AGT009,Inbound Call,Loan Query,Medium,Resolved,2023-10-25,1,30.0,24,1,1,0,1.6,0,2023,10,4,6.0,Within 48hrs,Night (0-6),Poor,1
TKT000060,CUST03140,AGT067,Outbound Call,KYC Verification,Medium,Resolved,2022-10-16,7,48.0,24,1,0,1,2.3,1,2022,10,4,24.0,Within 48hrs,Morning (6-12),Average,1
TKT000061,CUST02879,AGT074,Live Chat,Payment Failure,High,Resolved,2022-12-30,18,5.8,8,0,0,1,2.0,0,2022,12,4,-2.2,Within 8hrs,Afternoon (12-18),Poor,1
TKT000062,CUST01536,AGT002,Live Chat,Account Locked,Medium,Escalated,2022-01-19,4,14.1,24,0,0,1,,0,2022,1,1,-9.9,Within 24hrs,Night (0-6),,0
TKT000063,CUST00536,AGT008,Live Chat,App Technical Issue,High,Resolved,2024-11-28,4,2.9,8,0,0,1,2.4,0,2024,11,4,-5.1,Within 8hrs,Night (0-6),Average,1
TKT000064,CUST00949,AGT043,Social Media,Statement Request,Critical,Closed,2022-10-15,22,1.1,2,0,0,0,4.3,0,2022,10,4,-0.9,Within 2hrs,Evening (18-24),Excellent,1
TKT000065,CUST04959,AGT018,Inbound Call,Statement Request,Medium,Resolved,2024-08-20,1,20.5,24,0,0,1,2.1,1,2024,8,3,-3.5,Within 24hrs,Night (0-6),Average,1
TKT000066,CUST02643,AGT052,Inbound Call,Fraud Alert,Low,Escalated,2022-05-06,19,73.0,48,1,0,1,,0,2022,5,2,25.0,Beyond 48hrs,Evening (18-24),,0
TKT000067,CUST03942,AGT039,Live Chat,Refund Request,Medium,Resolved,2023-03-06,23,1.0,24,0,0,1,1.0,0,2023,3,1,-23.0,Within 2hrs,Evening (18-24),Poor,1
TKT000068,CUST01022,AGT031,Outbound Call,KYC Verification,Low,Escalated,2023-08-24,11,30.0,48,0,0,0,,0,2023,8,3,-18.0,Within 48hrs,Morning (6-12),,0
TKT000069,CUST00434,AGT014,Inbound Call,Fraud Alert,High,Escalated,2024-04-29,5,17.0,8,1,1,0,,0,2024,4,2,9.0,Within 24hrs,Night (0-6),,0
TKT000070,CUST01404,AGT064,Outbound Call,Fraud Alert,Medium,Resolved,2024-05-08,5,28.0,24,1,0,1,4.9,0,2024,5,2,4.0,Within 48hrs,Night (0-6),Excellent,1
TKT000071,CUST03512,AGT097,Outbound Call,Loan Query,Medium,Escalated,2022-12-24,16,12.2,24,0,0,1,,0,2022,12,4,-11.8,Within 24hrs,Afternoon (12-18),,0
TKT000072,CUST02936,AGT093,Chatbot,Account Locked,Medium,Escalated,2022-11-07,23,18.3,24,0,0,1,,0,2022,11,4,-5.7,Within 24hrs,Evening (18-24),,0
TKT000073,CUST04879,AGT044,Live Chat,KYC Verification,High,Closed,2023-01-07,11,3.8,8,0,0,1,1.8,1,2023,1,1,-4.2,Within 8hrs,Morning (6-12),Poor,1
TKT000074,CUST04265,AGT060,Email,KYC Verification,Medium,Closed,2022-08-13,5,27.0,24,1,0,1,4.9,0,2022,8,3,3.0,Within 48hrs,Night (0-6),Excellent,1
TKT000075,CUST04805,AGT097,Live Chat,Loan Query,Medium,Resolved,2022-03-03,15,11.4,24,0,0,1,3.9,0,2022,3,1,-12.6,Within 24hrs,Afternoon (12-18),Good,1
TKT000076,CUST03334,AGT099,Live Chat,Card Blocked,Critical,Escalated,2023-02-22,9,1.4,2,0,0,1,,0,2023,2,1,-0.6,Within 2hrs,Morning (6-12),,0
TKT000077,CUST01603,AGT002,Chatbot,KYC Verification,High,Closed,2024-04-06,20,13.0,8,1,0,0,2.1,0,2024,4,2,5.0,Within 24hrs,Evening (18-24),Average,1
TKT000078,CUST00229,AGT099,Inbound Call,Loan Query,Medium,Resolved,2024-02-04,8,14.5,24,0,0,0,3.4,0,2024,2,1,-9.5,Within 24hrs,Morning (6-12),Good,1
TKT000079,CUST04523,AGT032,Outbound Call,KYC Verification,Low,Pending,2023-10-20,0,4.9,48,0,1,1,,1,2023,10,4,-43.1,Within 8hrs,Night (0-6),,0
TKT000080,CUST04218,AGT036,Email,KYC Verification,Critical,Closed,2022-02-22,10,1.3,2,0,0,0,3.4,1,2022,2,1,-0.7,Within 2hrs,Morning (6-12),Good,1
TKT000081,CUST02197,AGT055,Outbound Call,Refund Request,Medium,Resolved,2022-02-28,15,4.0,24,0,0,1,4.6,0,2022,2,1,-20.0,Within 8hrs,Afternoon (12-18),Excellent,1
TKT000082,CUST02900,AGT087,Inbound Call,Account Locked,Low,Resolved,2022-03-12,23,11.1,48,0,0,0,1.6,0,2022,3,1,-36.9,Within 24hrs,Evening (18-24),Poor,1
TKT000083,CUST00111,AGT063,Inbound Call,Fraud Alert,Critical,Resolved,2022-10-23,13,0.7,2,0,0,1,2.1,1,2022,10,4,-1.3,Within 2hrs,Afternoon (12-18),Average,1
TKT000084,CUST01245,AGT069,Inbound Call,Card Blocked,Critical,Resolved,2022-04-06,17,1.1,2,0,0,1,4.2,0,2022,4,2,-0.9,Within 2hrs,Afternoon (12-18),Excellent,1
TKT000085,CUST04160,AGT080,Chatbot,Transaction Dispute,High,Resolved,2024-02-12,19,1.2,8,0,0,1,3.7,0,2024,2,1,-6.8,Within 2hrs,Evening (18-24),Good,1
TKT000086,CUST02686,AGT040,Chatbot,KYC Verification,Medium,Resolved,2024-12-11,5,70.0,24,1,0,0,3.9,1,2024,12,4,46.0,Beyond 48hrs,Night (0-6),Good,1
TKT000087,CUST03802,AGT024,Inbound Call,Account Locked,Medium,Resolved,2022-11-20,3,16.9,24,0,0,1,1.7,0,2022,11,4,-7.1,Within 24hrs,Night (0-6),Poor,1
TKT000088,CUST03868,AGT058,Outbound Call,Transaction Dispute,High,Resolved,2022-01-31,11,4.1,8,0,0,1,1.4,0,2022,1,1,-3.9,Within 8hrs,Morning (6-12),Poor,1
TKT000089,CUST01378,AGT028,Outbound Call,Statement Request,Low,Closed,2023-04-02,2,56.0,48,1,0,1,4.2,1,2023,4,2,8.0,Beyond 48hrs,Night (0-6),Excellent,1
TKT000090,CUST01772,AGT062,Inbound Call,Loan Query,Critical,Closed,2024-05-09,2,1.4,2,0,0,0,2.9,1,2024,5,2,-0.6,Within 2hrs,Night (0-6),Average,1
TKT000091,CUST00013,AGT025,Social Media,App Technical Issue,Medium,Closed,2022-08-19,15,34.0,24,1,0,0,2.3,1,2022,8,3,10.0,Within 48hrs,Afternoon (12-18),Average,1
TKT000092,CUST04335,AGT007,Live Chat,Card Blocked,Medium,Resolved,2024-08-09,13,2.8,24,0,0,1,2.4,0,2024,8,3,-21.2,Within 8hrs,Afternoon (12-18),Average,1
TKT000093,CUST03262,AGT038,Outbound Call,Card Blocked,High,Pending,2024-06-20,4,1.2,8,0,0,1,,0,2024,6,2,-6.8,Within 2hrs,Night (0-6),,0
TKT000094,CUST00663,AGT071,Chatbot,App Technical Issue,Critical,Resolved,2022-01-02,9,5.0,2,1,0,0,4.0,1,2022,1,1,3.0,Within 8hrs,Morning (6-12),Good,1
TKT000095,CUST03093,AGT086,Live Chat,Card Blocked,Medium,Closed,2024-09-02,15,5.4,24,0,1,1,4.4,0,2024,9,3,-18.6,Within 8hrs,Afternoon (12-18),Excellent,1
TKT000096,CUST00694,AGT086,Inbound Call,Card Blocked,Medium,Pending,2023-06-11,4,15.3,24,0,1,1,,0,2023,6,2,-8.7,Within 24hrs,Night (0-6),,0
TKT000097,CUST03391,AGT091,Live Chat,Refund Request,Medium,Resolved,2023-10-24,21,16.3,24,0,0,1,1.0,0,2023,10,4,-7.7,Within 24hrs,Evening (18-24),Poor,1
TKT000098,CUST01182,AGT097,Outbound Call,Refund Request,High,Closed,2024-01-19,19,1.4,8,0,0,1,3.0,1,2024,1,1,-6.6,Within 2hrs,Evening (18-24),Average,1
TKT000099,CUST03019,AGT045,Outbound Call,Loan Query,Medium,Escalated,2022-07-17,15,17.7,24,0,0,1,,0,2022,7,3,-6.3,Within 24hrs,Afternoon (12-18),,0
TKT000100,CUST01505,AGT032,Email,Account Locked,Medium,Closed,2024-10-06,23,49.0,24,1,0,1,3.2,1,2024,10,4,25.0,Beyond 48hrs,Evening (18-24),Good,1
TKT000101,CUST01903,AGT032,Inbound Call,Payment Failure,Critical,Escalated,2023-02-06,4,1.0,2,0,0,1,,1,2023,2,1,-1.0,Within 2hrs,Night (0-6),,0
TKT000102,CUST04172,AGT001,Outbound Call,Payment Failure,Medium,Resolved,2023-03-26,16,6.8,24,0,0,1,3.5,0,2023,3,1,-17.2,Within 8hrs,Afternoon (12-18),Good,1
TKT000103,CUST00329,AGT074,Chatbot,Payment Failure,Critical,Resolved,2022-09-23,4,3.0,2,1,0,1,2.8,0,2022,9,3,1.0,Within 8hrs,Night (0-6),Average,1
TKT000104,CUST01440,AGT045,Inbound Call,KYC Verification,Medium,Closed,2023-04-07,21,29.0,24,1,0,1,1.9,0,2023,4,2,5.0,Within 48hrs,Evening (18-24),Poor,1
TKT000105,CUST03847,AGT064,Social Media,KYC Verification,High,Resolved,2022-06-18,23,15.0,8,1,0,0,3.4,0,2022,6,2,7.0,Within 24hrs,Evening (18-24),Good,1
TKT000106,CUST04168,AGT068,Outbound Call,Loan Query,High,Closed,2022-07-14,22,9.0,8,1,1,1,1.6,1,2022,7,3,1.0,Within 24hrs,Evening (18-24),Poor,1
TKT000107,CUST00225,AGT093,Chatbot,Statement Request,High,Resolved,2024-04-07,9,23.0,8,1,0,0,2.6,0,2024,4,2,15.0,Within 24hrs,Morning (6-12),Average,1
TKT000108,CUST02521,AGT007,Outbound Call,Payment Failure,Low,Escalated,2022-08-04,7,16.8,48,0,0,1,,0,2022,8,3,-31.2,Within 24hrs,Morning (6-12),,0
TKT000109,CUST03715,AGT038,Social Media,KYC Verification,High,Escalated,2023-04-09,8,4.7,8,0,0,1,,1,2023,4,2,-3.3,Within 8hrs,Morning (6-12),,0
TKT000110,CUST02408,AGT070,Live Chat,Card Blocked,Medium,Resolved,2023-01-14,23,10.3,24,0,0,0,1.1,0,2023,1,1,-13.7,Within 24hrs,Evening (18-24),Poor,1
TKT000111,CUST00811,AGT053,Chatbot,Fraud Alert,Low,Resolved,2023-09-09,10,10.0,48,0,0,1,3.1,0,2023,9,3,-38.0,Within 24hrs,Morning (6-12),Good,1
TKT000112,CUST03118,AGT075,Social Media,Fraud Alert,Low,Resolved,2024-08-04,21,34.6,48,0,1,1,1.4,0,2024,8,3,-13.4,Within 48hrs,Evening (18-24),Poor,1
TKT000113,CUST04774,AGT073,Chatbot,Fraud Alert,Critical,Resolved,2024-11-30,16,1.0,2,0,1,1,2.1,0,2024,11,4,-1.0,Within 2hrs,Afternoon (12-18),Average,1
TKT000114,CUST03291,AGT030,Inbound Call,Fraud Alert,High,Resolved,2023-07-01,4,2.5,8,0,0,0,3.3,0,2023,7,3,-5.5,Within 8hrs,Night (0-6),Good,1
TKT000115,CUST04387,AGT022,Social Media,App Technical Issue,Medium,Closed,2023-11-03,13,8.8,24,0,0,1,3.6,0,2023,11,4,-15.2,Within 24hrs,Afternoon (12-18),Good,1
TKT000116,CUST02252,AGT058,Inbound Call,Transaction Dispute,Low,Pending,2024-02-07,21,113.0,48,1,0,0,,1,2024,2,1,65.0,Beyond 48hrs,Evening (18-24),,0
TKT000117,CUST04662,AGT073,Email,Card Blocked,Medium,Pending,2022-10-25,18,56.0,24,1,0,1,,0,2022,10,4,32.0,Beyond 48hrs,Afternoon (12-18),,0
TKT000118,CUST02530,AGT055,Chatbot,Card Blocked,High,Resolved,2022-03-12,23,4.5,8,0,0,1,3.1,0,2022,3,1,-3.5,Within 8hrs,Evening (18-24),Good,1
TKT000119,CUST04607,AGT046,Live Chat,App Technical Issue,High,Resolved,2024-02-28,20,15.0,8,1,1,1,4.2,0,2024,2,1,7.0,Within 24hrs,Evening (18-24),Excellent,1
TKT000120,CUST00924,AGT097,Live Chat,Card Blocked,Low,Pending,2022-04-09,6,43.0,48,0,0,1,,0,2022,4,2,-5.0,Within 48hrs,Night (0-6),,0
TKT000121,CUST03053,AGT026,Email,Transaction Dispute,Medium,Closed,2023-01-09,0,16.9,24,0,0,1,1.1,0,2023,1,1,-7.1,Within 24hrs,Night (0-6),Poor,1
TKT000122,CUST00016,AGT064,Inbound Call,KYC Verification,High,Resolved,2022-10-20,20,20.0,8,1,0,1,2.1,0,2022,10,4,12.0,Within 24hrs,Evening (18-24),Average,1
TKT000123,CUST03597,AGT080,Email,Account Locked,High,Resolved,2022-03-11,7,17.0,8,1,0,1,4.1,1,2022,3,1,9.0,Within 24hrs,Morning (6-12),Excellent,1
TKT000124,CUST02404,AGT009,Inbound Call,Account Locked,Medium,Resolved,2022-11-28,12,66.0,24,1,1,0,4.9,0,2022,11,4,42.0,Beyond 48hrs,Morning (6-12),Excellent,1
TKT000125,CUST04452,AGT087,Inbound Call,Account Locked,Low,Resolved,2023-10-23,0,118.0,48,1,0,1,4.2,0,2023,10,4,70.0,Beyond 48hrs,Night (0-6),Excellent,1
TKT000126,CUST04926,AGT015,Inbound Call,KYC Verification,Critical,Closed,2024-09-11,15,0.7,2,0,0,1,3.4,0,2024,9,3,-1.3,Within 2hrs,Afternoon (12-18),Good,1
TKT000127,CUST04011,AGT019,Chatbot,Account Locked,Medium,Resolved,2023-12-06,6,10.9,24,0,0,1,4.2,0,2023,12,4,-13.1,Within 24hrs,Night (0-6),Excellent,1
TKT000128,CUST02647,AGT016,Live Chat,Card Blocked,High,Resolved,2024-04-10,14,24.0,8,1,0,0,4.3,0,2024,4,2,16.0,Within 24hrs,Afternoon (12-18),Excellent,1
TKT000129,CUST01102,AGT025,Inbound Call,Fraud Alert,Critical,Resolved,2023-03-16,14,5.0,2,1,0,1,2.7,0,2023,3,1,3.0,Within 8hrs,Afternoon (12-18),Average,1
TKT000130,CUST02976,AGT099,Email,Refund Request,Medium,Resolved,2023-06-23,17,3.1,24,0,0,1,1.4,0,2023,6,2,-20.9,Within 8hrs,Afternoon (12-18),Poor,1
TKT000131,CUST01091,AGT051,Inbound Call,Payment Failure,Medium,Resolved,2024-06-19,3,48.0,24,1,0,1,3.1,1,2024,6,2,24.0,Within 48hrs,Night (0-6),Good,1
TKT000132,CUST02907,AGT077,Inbound Call,Card Blocked,Low,Resolved,2023-07-27,20,39.6,48,0,1,1,3.1,0,2023,7,3,-8.4,Within 48hrs,Evening (18-24),Good,1
TKT000133,CUST01747,AGT046,Email,KYC Verification,Medium,Pending,2024-11-19,10,16.1,24,0,0,1,,0,2024,11,4,-7.9,Within 24hrs,Morning (6-12),,0
TKT000134,CUST04310,AGT007,Email,Transaction Dispute,Medium,Resolved,2023-11-22,5,12.6,24,0,0,1,3.6,0,2023,11,4,-11.4,Within 24hrs,Night (0-6),Good,1
TKT000135,CUST01721,AGT034,Email,KYC Verification,Low,Escalated,2023-06-07,10,32.5,48,0,0,0,,0,2023,6,2,-15.5,Within 48hrs,Morning (6-12),,0
TKT000136,CUST00449,AGT058,Inbound Call,Loan Query,High,Closed,2024-09-25,17,19.0,8,1,0,1,3.5,0,2024,9,3,11.0,Within 24hrs,Afternoon (12-18),Good,1
TKT000137,CUST03013,AGT078,Inbound Call,Refund Request,Medium,Resolved,2024-07-23,21,12.1,24,0,0,1,4.6,0,2024,7,3,-11.9,Within 24hrs,Evening (18-24),Excellent,1
TKT000138,CUST03505,AGT023,Social Media,Account Locked,Low,Resolved,2022-07-17,21,31.2,48,0,0,1,3.4,1,2022,7,3,-16.8,Within 48hrs,Evening (18-24),Good,1
TKT000139,CUST01569,AGT023,Outbound Call,Loan Query,Critical,Resolved,2023-12-03,16,0.7,2,0,0,1,3.1,0,2023,12,4,-1.3,Within 2hrs,Afternoon (12-18),Good,1
