Interaction_ID,Ticket_ID,Channel,Interaction_Date,Duration_Minutes,Messages_Exchanged,Bot_Handled,Transferred_To_Agent,Resolution_Achieved,Hold_Time_Minutes,Sentiment_Score,Duration_Tier,Sentiment_Tier
INT000089,TKT000089,Outbound Call,2023-04-02,45.0,,1,1,1,7.5,-0.51,Long (30m+),Negative
INT000090,TKT000090,Inbound Call,2024-05-09,26.5,,1,0,1,8.7,0.28,Extended (15-30m),Neutral
INT000091,TKT000091,Social Media,2022-08-19,14.5,8.0,0,1,0,,-0.67,Standard (5-15m),Negative
INT000092,TKT000092,Live Chat,2024-08-09,23.7,13.0,1,0,0,,-0.33,Extended (15-30m),Negative
INT000093,TKT000093,Outbound Call,2024-06-20,34.5,,0,0,0,9.2,-0.65,Long (30m+),Negative
INT000094,TKT000094,Chatbot,2022-01-02,8.5,17.0,1,0,0,,0.6,Standard (5-15m),Positive
INT000095,TKT000095,Live Chat,2024-09-02,8.9,16.0,0,1,1,,0.82,Standard (5-15m),Positive
INT000096,TKT000096,Inbound Call,2023-06-11,39.0,,0,0,0,2.0,0.7,Long (30m+),Positive
INT000097,TKT000097,Live Chat,2023-10-24,16.1,8.0,0,1,1,,-0.95,Extended (15-30m),Negative
INT000098,TKT000098,Outbound Call,2024-01-19,23.8,,0,0,0,9.8,-0.37,Extended (15-30m),Negative
INT000099,TKT000099,Outbound Call,2022-07-17,8.2,,0,0,1,9.4,0.28,Standard (5-15m),Neutral
INT000100,TKT000100,Email,2024-10-06,0.7,8.0,0,0,1,,-1.0,Quick (0-5m),Negative
INT000101,TKT000101,Inbound Call,2023-02-06,37.7,,0,1,1,8.1,0.49,Long (30m+),Positive
INT000102,TKT000102,Outbound Call,2023-03-26,18.9,,0,0,1,6.2,0.74,Extended (15-30m),Positive
INT000103,TKT000103,Chatbot,2022-09-23,3.5,20.0,1,1,0,,-0.84,Quick (0-5m),Negative
INT000104,TKT000104,Inbound Call,2023-04-07,25.0,,0,1,1,9.7,-0.14,Extended (15-30m),Neutral
INT000105,TKT000105,Social Media,2022-06-18,8.3,7.0,0,0,1,,-0.39,Standard (5-15m),Negative
INT000106,TKT000106,Outbound Call,2022-07-14,20.5,,0,1,1,9.9,0.89,Extended (15-30m),Positive
INT000107,TKT000107,Chatbot,2024-04-07,9.1,13.0,1,0,0,,-0.35,Standard (5-15m),Negative
INT000108,TKT000108,Outbound Call,2022-08-04,6.2,,0,0,1,3.1,0.16,Standard (5-15m),Neutral
INT000109,TKT000109,Social Media,2023-04-09,2.5,4.0,0,0,1,,-0.98,Quick (0-5m),Negative
INT000110,TKT000110,Live Chat,2023-01-14,11.3,17.0,0,1,1,,0.67,Standard (5-15m),Positive
INT000111,TKT000111,Chatbot,2023-09-09,6.4,19.0,1,0,1,,-0.94,Standard (5-15m),Negative
INT000112,TKT000112,Social Media,2024-08-04,13.6,6.0,0,1,0,,0.14,Standard (5-15m),Neutral
INT000113,TKT000113,Chatbot,2024-11-30,9.2,6.0,1,1,1,,0.48,Standard (5-15m),Positive
INT000114,TKT000114,Inbound Call,2023-07-01,20.8,,0,0,0,6.1,-0.21,Extended (15-30m),Neutral
INT000115,TKT000115,Social Media,2023-11-03,14.6,2.0,1,0,0,,-0.94,Standard (5-15m),Negative
INT000116,TKT000116,Inbound Call,2024-02-07,5.3,,0,0,1,9.6,0.8,Standard (5-15m),Positive
INT000117,TKT000117,Email,2022-10-25,2.1,6.0,0,1,1,,-0.27,Quick (0-5m),Neutral
INT000118,TKT000118,Chatbot,2022-03-12,5.9,13.0,1,0,0,,-0.07,Standard (5-15m),Neutral
INT000119,TKT000119,Live Chat,2024-02-28,14.9,20.0,0,0,1,,0.63,Standard (5-15m),Positive
INT000120,TKT000120,Live Chat,2022-04-09,10.5,19.0,1,1,1,,0.32,Standard (5-15m),Positive
INT000121,TKT000121,Email,2023-01-09,1.5,7.0,0,1,1,,-0.35,Quick (0-5m),Negative
INT000122,TKT000122,Inbound Call,2022-10-20,32.4,,0,0,0,3.7,0.08,Long (30m+),Neutral
INT000123,TKT000123,Email,2022-03-11,2.5,1.0,0,1,1,,-0.81,Quick (0-5m),Negative
INT000124,TKT000124,Inbound Call,2022-11-28,39.7,,0,0,1,4.7,-0.04,Long (30m+),Neutral
INT000125,TKT000125,Inbound Call,2023-10-23,12.2,,0,1,1,8.1,-0.14,Standard (5-15m),Neutral
INT000126,TKT000126,Inbound Call,2024-09-11,32.4,,0,0,1,9.2,0.52,Long (30m+),Positive
INT000127,TKT000127,Chatbot,2023-12-06,6.6,7.0,1,1,1,,0.6,Standard (5-15m),Positive
INT000128,TKT000128,Live Chat,2024-04-10,28.1,9.0,0,1,0,,0.74,Extended (15-30m),Positive
INT000129,TKT000129,Inbound Call,2023-03-16,32.4,,0,0,1,5.1,0.71,Long (30m+),Positive
INT000130,TKT000130,Email,2023-06-23,2.6,1.0,0,0,1,,1.0,Quick (0-5m),Positive
INT000131,TKT000131,Inbound Call,2024-06-19,36.2,,0,1,0,1.2,0.41,Long (30m+),Positive
INT000132,TKT000132,Inbound Call,2023-07-27,31.1,,1,0,0,4.8,0.24,Long (30m+),Neutral
INT000133,TKT000133,Email,2024-11-19,3.1,3.0,0,0,0,,-0.71,Quick (0-5m),Negative
INT000134,TKT000134,Email,2023-11-22,1.7,3.0,0,0,1,,-0.06,Quick (0-5m),Neutral
INT000135,TKT000135,Email,2023-06-07,1.8,8.0,1,0,1,,-0.14,Quick (0-5m),Neutral
INT000136,TKT000136,Inbound Call,2024-09-25,8.6,,0,1,1,2.6,0.47,Standard (5-15m),Positive
INT000137,TKT000137,Inbound Call,2024-07-23,2.3,,1,0,1,9.7,-0.45,Quick (0-5m),Negative
INT000138,TKT000138,Social Media,2022-07-17,6.7,6.0,0,1,1,,0.74,Standard (5-15m),Positive
INT000139,TKT000139,Outbound Call,2023-12-03,23.9,,0,0,1,7.3,-0.56,Extended (15-30m),Negative
INT000140,TKT000140,Live Chat,2023-06-23,29.4,21.0,0,1,1,,-0.03,Extended (15-30m),Neutral
INT000141,TKT000141,Chatbot,2024-01-19,7.0,15.0,1,1,1,,0.89,Standard (5-15m),Positive
INT000142,TKT000142,Inbound Call,2022-02-22,36.4,,0,1,1,2.1,-0.31,Long (30m+),Negative
INT000143,TKT000143,Live Chat,2022-09-16,17.7,5.0,0,0,1,,0.46,Extended (15-30m),Positive
INT000144,TKT000144,Social Media,2023-04-11,9.2,3.0,0,0,1,,-0.33,Standard (5-15m),Negative
INT000145,TKT000145,Inbound Call,2022-08-16,8.8,,1,1,1,5.4,0.03,Standard (5-15m),Neutral
INT000146,TKT000146,Inbound Call,2023-08-29,37.6,,1,0,0,5.5,0.55,Long (30m+),Positive
INT000147,TKT000147,Outbound Call,2023-12-13,37.1,,0,0,1,1.7,0.63,Long (30m+),Positive
INT000148,TKT000148,Chatbot,2024-07-15,8.2,21.0,1,1,0,,0.68,Standard (5-15m),Positive
INT000149,TKT000149,Outbound Call,2022-06-19,39.4,,0,0,1,5.2,-0.8,Long (30m+),Negative
INT000150,TKT000150,Live Chat,2023-01-09,8.3,20.0,0,0,1,,0.71,Standard (5-15m),Positive
INT000151,TKT000151,Live Chat,2024-11-12,23.5,17.0,0,1,1,,-0.71,Extended (15-30m),Negative
INT000152,TKT000152,Live Chat,2022-10-18,7.4,25.0,1,0,1,,-0.45,Standard (5-15m),Negative
INT000153,TKT000153,Social Media,2023-03-31,6.1,6.0,0,0,0,,0.94,Standard (5-15m),Positive
INT000154,TKT000154,Live Chat,2023-02-11,14.6,9.0,1,0,1,,-0.71,Standard (5-15m),Negative
INT000155,TKT000155,Inbound Call,2023-12-26,8.3,,1,1,1,1.9,-0.5,Standard (5-15m),Negative
INT000156,TKT000156,Outbound Call,2022-11-07,40.0,,0,0,0,9.9,-0.33,Long (30m+),Negative
INT000157,TKT000157,Live Chat,2024-12-22,29.4,3.0,0,0,1,,0.61,Extended (15-30m),Positive
INT000158,TKT000158,Inbound Call,2022-04-07,13.7,,0,1,1,3.3,-0.36,Standard (5-15m),Negative
INT000159,TKT000159,Social Media,2024-01-13,9.6,2.0,1,0,1,,0.65,Standard (5-15m),Positive
INT000160,TKT000160,Outbound Call,2023-04-17,5.5,,1,0,1,5.9,-0.59,Standard (5-15m),Negative
INT000161,TKT000161,Outbound Call,2024-12-23,27.3,,0,0,1,6.5,0.2,Extended (15-30m),Neutral
INT000162,TKT000162,Social Media,2024-02-06,6.8,3.0,1,0,1,,0.92,Standard (5-15m),Positive
INT000163,TKT000163,Live Chat,2022-07-25,28.5,15.0,1,1,1,,-0.92,Extended (15-30m),Negative
INT000164,TKT000164,Inbound Call,2022-12-06,41.6,,0,1,1,5.3,0.82,Long (30m+),Positive
INT000165,TKT000165,Inbound Call,2023-04-09,33.2,,0,1,0,2.6,-0.67,Long (30m+),Negative
INT000166,TKT000166,Outbound Call,2022-11-08,12.3,,0,1,0,7.9,0.16,Standard (5-15m),Neutral
INT000167,TKT000167,Email,2024-05-18,1.4,4.0,1,0,0,,-0.9,Quick (0-5m),Negative
INT000168,TKT000168,Live Chat,2023-07-25,13.9,14.0,0,0,1,,0.14,Standard (5-15m),Neutral
INT000169,TKT000169,Email,2024-03-31,1.9,4.0,1,1,1,,0.23,Quick (0-5m),Neutral
INT000170,TKT000170,Live Chat,2024-03-09,9.6,14.0,0,0,1,,0.62,Standard (5-15m),Positive
INT000171,TKT000171,Live Chat,2024-05-12,29.4,15.0,1,0,1,,-0.17,Extended (15-30m),Neutral
INT000172,TKT000172,Live Chat,2024-08-16,20.9,6.0,0,0,1,,0.83,Extended (15-30m),Positive
INT000173,TKT000173,Outbound Call,2022-10-06,37.3,,0,0,1,0.3,-0.26,Long (30m+),Neutral
INT000174,TKT000174,Live Chat,2023-09-07,29.1,4.0,0,0,0,,-0.82,Extended (15-30m),Negative
INT000175,TKT000175,Inbound Call,2022-06-03,42.3,,0,0,1,7.9,-0.23,Long (30m+),Neutral
INT000176,TKT000176,Outbound Call,2023-10-01,42.2,,1,1,1,7.3,-0.39,Long (30m+),Negative
INT000177,TKT000177,Live Chat,2022-05-17,10.5,12.0,0,0,1,,-0.11,Standard (5-15m),Neutral
INT000178,TKT000178,Social Media,2024-04-20,7.2,6.0,1,1,0,,-0.6,Standard (5-15m),Negative
INT000179,TKT000179,Inbound Call,2022-10-22,14.3,,0,0,1,5.7,-0.26,Standard (5-15m),Neutral
INT000180,TKT000180,Chatbot,2022-11-25,3.9,5.0,1,0,1,,0.77,Quick (0-5m),Positive
INT000181,TKT000181,Live Chat,2024-03-12,28.2,10.0,0,0,0,,0.3,Extended (15-30m),Neutral
INT000182,TKT000182,Social Media,2024-05-08,7.3,8.0,0,1,0,,-0.6,Standard (5-15m),Negative
INT000183,TKT000183,Outbound Call,2023-02-01,32.6,,0,0,0,6.2,-0.89,Long (30m+),Negative
INT000184,TKT000184,Live Chat,2023-12-19,26.3,19.0,0,0,1,,-0.57,Extended (15-30m),Negative
INT000185,TKT000185,Social Media,2023-04-09,3.8,7.0,0,0,1,,-0.18,Quick (0-5m),Neutral
INT000186,TKT000186,Live Chat,2022-10-15,12.5,4.0,0,0,1,,-0.27,Standard (5-15m),Neutral
INT000187,TKT000187,Chatbot,2022-09-10,6.4,5.0,1,1,1,,0.7,Standard (5-15m),Positive
INT000188,TKT000188,Email,2022-11-07,4.3,5.0,0,0,1,,0.17,Quick (0-5m),Neutral
INT000189,TKT000189,Outbound Call,2024-06-27,32.3,,0,0,1,0.5,0.68,Long (30m+),Positive
INT000190,TKT000190,Outbound Call,2023-07-19,28.6,,0,1,1,3.9,1.0,Extended (15-30m),Positive
INT000191,TKT000191,Inbound Call,2022-01-23,40.4,,0,0,1,0.3,-0.42,Long (30m+),Negative
INT000192,TKT000192,Email,2022-08-29,3.8,8.0,1,0,1,,-0.05,Quick (0-5m),Neutral
INT000193,TKT000193,Live Chat,2023-09-30,20.0,12.0,0,0,0,,0.41,Extended (15-30m),Positive
INT000194,TKT000194,Chatbot,2022-07-30,1.5,7.0,1,0,1,,0.02,Quick (0-5m),Neutral
INT000195,TKT000195,Chatbot,2024-08-22,5.4,25.0,1,0,0,,-0.35,Standard (5-15m),Negative
INT000196,TKT000196,Email,2024-06-16,4.5,4.0,0,0,1,,0.63,Quick (0-5m),Positive
INT000197,TKT000197,Live Chat,2022-09-13,27.5,20.0,0,0,1,,0.78,Extended (15-30m),Positive
INT000198,TKT000198,Chatbot,2024-07-19,9.3,16.0,1,0,1,,-0.44,Standard (5-15m),Negative
INT000199,TKT000199,Chatbot,2022-05-25,5.4,7.0,1,0,1,,-0.44,Standard (5-15m),Negative
INT000200,TKT000200,Chatbot,2023-12-01,8.2,24.0,1,0,1,,0.13,Standard (5-15m),Neutral
INT000201,TKT000201,Live Chat,2022-03-25,6.7,12.0,1,1,1,,0.63,Standard (5-15m),Positive
INT000202,TKT000202,Chatbot,2023-06-08,2.3,21.0,1,1,1,,0.04,Quick (0-5m),Neutral
INT000203,TKT000203,Live Chat,2024-08-13,24.5,21.0,0,1,1,,-0.88,Extended (15-30m),Negative
INT000204,TKT000204,Live Chat,2022-12-11,17.0,5.0,0,0,0,,-0.41,Extended (15-30m),Negative
INT000205,TKT000205,Social Media,2024-09-24,14.4,9.0,1,1,1,,0.01,Standard (5-15m),Neutral
INT000206,TKT000206,Outbound Call,2023-04-06,29.9,,0,0,1,7.5,0.47,Extended (15-30m),Positive
INT000207,TKT000207,Chatbot,2022-07-31,3.1,6.0,1,1,1,,0.55,Quick (0-5m),Positive
INT000208,TKT000208,Social Media,2024-01-13,4.5,4.0,0,1,0,,0.5,Quick (0-5m),Positive
INT000209,TKT000209,Chatbot,2024-10-09,3.6,5.0,1,0,0,,-0.81,Quick (0-5m),Negative
INT000210,TKT000210,Live Chat,2024-06-04,21.9,20.0,1,0,1,,0.23,Extended (15-30m),Neutral
INT000211,TKT000211,Email,2022-04-27,1.0,1.0,1,1,1,,-0.15,Quick (0-5m),Neutral
INT000212,TKT000212,Inbound Call,2022-08-04,12.5,,0,0,1,0.2,-0.37,Standard (5-15m),Negative
INT000213,TKT000213,Live Chat,2023-07-19,18.7,6.0,0,1,1,,0.66,Extended (15-30m),Positive
INT000214,TKT000214,Email,2024-11-06,2.7,1.0,0,1,1,,-0.28,Quick (0-5m),Neutral
INT000215,TKT000215,Inbound Call,2024-05-09,12.0,,0,0,1,6.0,-0.63,Standard (5-15m),Negative
INT000216,TKT000216,Chatbot,2023-05-30,7.1,8.0,1,1,0,,0.39,Standard (5-15m),Positive
INT000217,TKT000217,Chatbot,2022-06-20,4.7,3.0,1,0,0,,-0.73,Quick (0-5m),Negative
INT000218,TKT000218,Live Chat,2022-07-27,13.2,14.0,0,1,1,,-0.41,Standard (5-15m),Negative
INT000219,TKT000219,Live Chat,2024-09-21,21.5,12.0,0,0,0,,-0.11,Extended (15-30m),Neutral
INT000220,TKT000220,Outbound Call,2024-10-10,36.4,,0,0,1,4.1,-0.72,Long (30m+),Negative
INT000221,TKT000221,Outbound Call,2024-06-07,6.7,,0,0,0,7.1,-0.43,Standard (5-15m),Negative
INT000222,TKT000222,Inbound Call,2023-06-29,8.9,,0,1,1,3.7,0.28,Standard (5-15m),Neutral
INT000223,TKT000223,Chatbot,2024-09-26,3.7,18.0,1,1,0,,0.11,Quick (0-5m),Neutral
INT000224,TKT000224,Chatbot,2024-02-09,4.4,13.0,1,0,1,,0.69,Quick (0-5m),Positive
INT000225,TKT000225,Live Chat,2024-11-28,12.9,11.0,0,0,0,,-0.72,Standard (5-15m),Negative
INT000226,TKT000226,Social Media,2024-02-23,4.5,3.0,0,1,1,,0.73,Quick (0-5m),Positive
INT000227,TKT000227,Live Chat,2022-08-09,21.3,24.0,0,0,0,,-0.85,Extended (15-30m),Negative
INT000228,TKT000228,Inbound Call,2022-07-21,24.8,,1,0,0,6.6,0.49,Extended (15-30m),Positive
INT000229,TKT000229,Chatbot,2022-07-14,5.8,23.0,1,1,1,,-0.59,Standard (5-15m),Negative
INT000230,TKT000230,Chatbot,2023-05-04,5.1,14.0,1,0,1,,0.81,Standard (5-15m),Positive
INT000231,TKT000231,Inbound Call,2024-05-13,35.5,,0,0,1,9.4,-0.92,Long (30m+),Negative
INT000232,TKT000232,Social Media,2022-03-23,6.2,4.0,1,1,1,,0.16,Standard (5-15m),Neutral
INT000233,TKT000233,Inbound Call,2024-06-20,13.4,,0,0,0,3.7,-0.97,Standard (5-15m),Negative
INT000234,TKT000234,Outbound Call,2024-12-06,18.6,,0,1,1,4.5,0.47,Extended (15-30m),Positive
INT000235,TKT000235,Live Chat,2024-03-27,20.2,4.0,0,1,1,,-0.93,Extended (15-30m),Negative
INT000236,TKT000236,Social Media,2024-06-03,13.6,7.0,1,1,1,,0.45,Standard (5-15m),Positive
INT000237,TKT000237,Chatbot,2022-02-22,8.5,10.0,1,0,1,,0.62,Standard (5-15m),Positive
INT000238,TKT000238,Email,2023-01-06,3.6,1.0,1,0,1,,0.79,Quick (0-5m),Positive
INT000239,TKT000239,Social Media,2023-11-05,13.0,1.0,0,1,1,,-0.28,Standard (5-15m),Neutral
INT000240,TKT000240,Email,2023-08-22,0.8,6.0,1,0,1,,0.09,Quick (0-5m),Neutral
INT000241,TKT000241,Live Chat,2022-02-28,12.5,15.0,0,0,1,,0.47,Standard (5-15m),Positive
INT000242,TKT000242,Inbound Call,2024-07-24,21.3,,0,0,1,0.2,0.64,Extended (15-30m),Positive
INT000243,TKT000243,Chatbot,2024-01-05,3.4,15.0,1,1,0,,0.57,Quick (0-5m),Positive
INT000244,TKT000244,Social Media,2023-12-06,2.1,6.0,0,0,1,,0.7,Quick (0-5m),Positive
